achievements
54
37
128
0
0
51
55
34
43
72
41
0
50
0
12
32
0
75
68
30
51
96
0
15
85
0
63
0
14
47
55
58
0
0
46
61
77
31
147
71
12
0
30
45
20
38
91
45
0
72
40
0
12
0
48
62
0
134
22
19
0
53
69
16
12
35
62
10
0
16
0
66
80
490
0
50
0
0
0
42
42
28
44
0
0
0
35
0
61
75
0
0
50
93
0
53
89
67
137
32
49
58
139
15
54
40
30
67
32
0
47
59
56
0
50
118
18
0
24
49
30
50
19
0
20
51
0
34
28
85
54
0
76
56
100
11
0
361
39
0
99
39
52
0
452
0
47
0
49
19
129
29
0
31
139
0
0
0
1
24
35
0
51
47
106
36
67
106
28
43
144
59
80
709
0
19
91
50
54
42
70
77
97
42
33
0
1175
26
0
262
42
57
0
0
80
0
132
0
0
0
18
0
0
50
0
403
0
0
20
33
24
18
0
54
63
12
70
88
0
31
55
51
2
67
7
0
15
84
20
93
38
188
60
47
0
70
20
22
104
0
0
26
48
0
43
125
38
184
0
17
17
178
0
43
0
75
70
50
43
35
0
28
295
58
5
59
51
50
68
46
43
1130
13
37
63
27
40
143
58
27
44
39
58
15
34
27
0
286
74
294
0
80
0
47
38
185
44
29
39
75
24
44
32
0
23
0
161
25
43
0
98
0
80
82
0
0
45
32
47
50
26
58
0
88
152
0
0
92
88
22
265
0
40
32
38
0
88
104
50
34
0
0
97
0
520
38
23
0
46
128
68
63
0
104
104
51
241
41
134
0
0
75
84
48
77
187
38
78
68
88
0
75
43
0
120
0
0
167
0
19
21
49
97
0
0
0
29
45
53
0
50
35
13
76
19
0
70
57
220
2
42
0
101
21
0
75
44
0
10
20
54
0
31
0
60
49
80
46
0
23
0
11
26
18
100
54
0
40
0
0
13
35
25
0
0
24
24
60
45
0
68
0
24
0
0
12
32
60
0
0
14
114
38
0
0
37
0
0
35
0
70
0
19
0
84
45
51
20
9
90
34
88
31
14
67
28
74
30
40
28
49
26
9
55
0
60
165
49
17
88
0
54
10
50
89
21
0
0
127
2
0
32
0
85
57
0
35
0
42
10
0
50
26
32
22
59
47
86
0
0
38
51
41
14
29
60
35
0
0
42
0
0
55
33
0
0
31
0
0
0
48
21
10
0
